1-2-3-4 Go! Records, 420 40th, Oakland 
23 Club, 23 Visitacion Avenue, Brisbane              
Ace of Spades, 1417 R Street, Sacramento
Alley, 906 Victorian Way, Sparks, NV
Amoeba Music, 2455 Telegraph, Berkeley      
Amoeba Music, 1855 Haight, S.F.                      
Bender's Bar & Grill, 806 South Van Ness Ave., S.F.      
Bimbo's 365 Club, 1025 Columbus Avenue, S.F.            
Blake's, 2367 Telegraph, Berkeley                  
Blank Club, 44 South Almaden Avenue, San Jose
Blue Lamp Lounge, 1400 Alhambra Blvd., Sacramento       
Blue Lagoon, 923 Pacific Avenue, Santa Cruz              
Boardwalk, 9426 Greenback Lane, Orangevale    
Boom Boom Room, 1601 Fillmore, S.F.             
Bottom of the Hill, 1233 17th St., S.F.          
Brick & Mortar Music Hall, 1710 Mission Street, S.F. 
Cache Creek Casino Resort, 14455 Highway 16, Brooks
Cafe Du Nord, Inc., 2170 Market Street, S.F.              
Cafe Cocomo, 650 Indiana at Mariposa, S.F. 
Cafe Stritch, 374 South First Street, San Jose             
Catalyst, 1011 Pacific Ave., Santa Cruz 
Cell Space, 2050 Bryant at 18th, S.F. 
Chapel, 777 Valencia Street at 19th, S.F. 
Crepe Place, 1134 Soquel Ave. Santa Cruz                    
DNA Lounge, 375 11th Street at Harrison, S.F.          
Disco Volante, 247 14th Street at Webster, Oakland          
Dosa Biryani, 250 E Java Drive, Sunnyvale             
El Rey Theatre, 230 West 2nd St., Chico   
El Rincon, 2700 16th Street at Harrison, S.F.
El Rio, 3158 Mission Street, S.F.,                   
Elbo Room, 647 Valencia near 17th St., S.F.                
Eli's Mile High Club, 3629 Martin Luther King Jr. Way, Oakland 
Fillmore, 1805 Geary Blvd., S.F.                  
Fox Theater, 1807 Telegraph Avenue, Oakland
Gilman, 924 Gilman St. at 8th, Berkeley
George's, 842 Fourth St., San Rafael                        
Golden State Theater, 417 Alvarado St., Monterey          
Great American Music Hall, 859 O'Farrell, S.F. ages 6+         
Harlow's, 2708 J Street, Sacramento                         
Hemlock, 1131 Polk at Post, S.F.                            
Henfling's Firehouse Tavern, 9450 Highway 9, Ben Lomond     
Homestead Lanes, 20990 Homestead Road, Cupertino          
Hotel Utah Saloon, 500 4th St. at Bryant, S.F.              
Independent, 628 Divisadero, S.F.                           
Johnny Foley's Irish House, 243 O'Farrell Street, S.F.      
Knitting Factory, 211 North Virginia Street, Reno, NV     
Knockout, 3223 Mission St., S.F.                            
Konocti Harbor, 8727 Doda Bay Road, Kelseyville           
Li-Po Lounge, 916 Grant Ave., S.F. 
Lucky 13, 1301 Park St, Alameda                             
Mama Buzz Cafe, 2318 Telegraph at 23rd., Oakland          
Make-Out Room, 3225 22nd St. at Mission, S.F.               
Metro, 630 3rd St. at M.L.K., Oakland                     
Mezzanine, 444 Jessie Street at Mint, S.F.                  
Milk Bar, 1840 Haight Street, S.F.                          
Mountain Winery, 14831 Pierce Road, Saratoga              
Monstros Pizza, 628 W. Sacramento Avenue, Chico
Montalvo Arts Center, 15400 Montalvo Road, Saratoga       
Mystic Theater, 23 Petaluma Blvd., Petaluma         
Neck of the Woods, 406 Clement at 5th Avenue, S.F.
New Parish, 579 18th at San Pablo Avenue, Oakland 
Nickel City, 1711 Branham Lane, San Jose                  
Night Light, 311 Broadway, Oakland 
Masonic Center, 1111 California Street, S.F.
Octopus Lounge, 180 Eureka Square, Pacifica              
Old Ironsides, 1901 10th St., Sacramento                   
Paramount Theatre, 2025 Broadway, Oakland 
Parkside, 1600 17th St., S.F.                          
Phoenix Theater, 201 Washington St., Petaluma             
Pine Street Grill, 875 Rincon Ave., Livermore
Pioneer, 105 Pioneer Street, Santa Cruz 
Pirate Cat Radio Cafe, 2781 21st Street, S.F. 
Pissed Off Pete's, 4528 Mission Street, S.F. 
Plea for Peace Center, 630 E Weber Ave, Stockton 
Rasputin's Music, 2401 Telegraph, Berkeley              
Red Devil Lounge, 1695 Polk at Clay, S.F.              
Red Hat, 1860 Monument Blvd., Concord                       
Red House, 1667 Botelho Drive, Walnut Creek                
Regency Ballroom, 1300 Van Ness Avenue, S.F. 
Retox Lounge, 628 20th Street at 3rd, S.F.              
Rickshaw Stop, 155 Fell St. at Van Ness, S.F. 
Riptide Bar, 3639 Taraval St., S.F.                        
Route 92, 2128 South El Camino Real, San Mateo 
San Pedro Square Market, 87 North San Pedro St., San Jose 
Senator Theatre, 517 Main Street, Chico                 
Shattuck Down Low, 2284 Shattuck Ave., Berkeley    
Shoreline Amphitheatre, One Amphitheatre Pkwy., Mountain View 
Slim's, 333 11th St., S.F.              
Starry Plough, 3101 Shattuck, Berkeley  
Streetlight Records, 980 S. Bascom Ave., San Jose 
Streetlight Records, 939 Pacific Ave., Santa Cruz 
Stork Club, 2330 Telegraph, Oakland                     
Stud Bar, 399 9th Street at Harrison, S.F.                
Sub-Mission Art Space, 2183 Mission Street, S.F.
Swedish American Hall, 2170 Market Street, S.F.          
Swingin' Door, 106 East 25th Avenue, San Mateo 
Terminal, 3957 San Leandro Street, Oakland
Thrillhouse Records, Mission at 30th, S.F. 
Transient Lounge, 400 E. Todd Road, Santa Rosa 
Warfield, 982 Market St., S.F.                 
Winter's Tavern, 1522 Francisco Blvd., Pacifica
Uptown, 1928 Telegraph Avenue, Oakland                      
Uptown Theatre, 1350 Third Street, Napa 
Verdi Club, 2424 Mariposa at Potrero, S.F. 
Vitus, 201 Broadway @ 2nd., Oakland                    
Vixens, 906 Victorian Avenue, Sparks NV               
Voodoo Lounge, 14 South Second Street, San Jose 
Yoshi's, 1330 Fillmore Street, S.F.
Yoshi's, 510 Embarcadero West, Oakland
